DATE1,CUSTNAME,CUSTNMBR,ADRSCODE,Service_Call_ID,Record_Notes
S#: GCKM 016471

Arrived onsite, met with Albert. Gained access to mechanical room.

Isolated Chiller #1. Hooked up Chiller Pressurizer, vented all hoses. 

Wired Chiller Pressurizer to a nearby 460v terminal block.

Began pressurizing, once system pressure rose to 2psi, we began our first leak search. Only found small inconsistent hits. 

Allowed system pressure to rise to 5psi, upon further leak searching at this higher pressure we found the rupture disc is leaking, not completely ruptured but leaking. 
Attempted to tighten flange bolts on disc but this had no effect on the leak. 

Also found excessive refrigerant leakage at the shaft seal. 

Attempted to raise pressure higher, but after an extended period of time we could not get it any higher. 

See Albert XOI for quote request on repairs.

Flushed hot water from system. 

Leak search complete

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/37F84E47-5B04-45CA-A5C2-E52D539A8937"

2023-05-24 00:00:00,Kaeser Compressor,KAES001,KAESER COMPRESS,23-04163,"YORK AHU-1 AND TRANE RTU-4

BOTH HAVE NO REFRIGERANT


ONSITE POC:
KIRK DUNCAN
540-842-6012"

2023-06-05 00:00:00,BALTIMORE COUNTY GOVERNMENT,BALT002,CORRECTIONAL,23-04436,Yes. I will be the person of contact for that morning. Your tech will have to come sign in at the front lobby. Once that is completed front lobby will call for me if im not already there.

2023-05-25 00:00:00,The Commonwealth Club,THEC014,COMMONWEALTH,23-04208,"YASKAWA Z1000

NOT RUNNING, AREA NOT GETTING COOLED

WOULD NOT RESET, CLICKING SOUND, THE DISPLAY DOES NOT LIGHT UP


ONSITE POC:
DAVE OBERT
804-357-5101"

2023-04-27 00:00:00,Fulton Hill Properties,FULT001,CANAL CROSSING,23-03302,"YASKAWA VFD REPLACEMENT

SCOPE OF SERVICE

Manufacturer	Model Number	Serial Number
Yaskawa	HV600	TBD
		
SCOPE OF WORK

""	Check in with the customer
""	Disconnect electrical power from the old VFD using lockout/tagout procedures
""	Unwire and remove the old VFD from wall
""	Provide and mount a new Yaskawa VFD at the same location
""	Wire in the new VFD and restore power 
""	Program the new VFD to the job specifications 
""	Perform startup of the VFD 
""	Record installation and programming on XOI"

2023-01-24 00:00:00,ACES - BEN SABLAN,ACES008,NAVFAC STORAGE,23-00701,"XeteX

AHU-1  AHU-3

SCOPE OF WORK:

First, Second, Fourth and Fifth Months:

• Read, follow, and complete the “Storage Maintenance Record”
• Rotate all shafts, blowers, and energy wheels several times by hand
• Document completed work on XOI

Third and Sixth Months:

• Read, follow, and complete the “Storage Maintenance Record”
• Rotate all shafts, blowers, and energy wheels several times by hand
• Lightly grease all bearings using the grease recommended by the motor manufacturer. Do not over grease and do not mix grease. Rotate shafts by hand after greasing.
• Thoroughly inspect the cabinet both inside and outside. Check for corrosion, scratches, or dirt build-up"

2023-05-14 00:00:00,"",CALI009,XCAL,23-02561,"XCAL May PM

Trane RTU-1
M# VHC120F4RYA25MOC1C1 B6BOCE010000000000
S# 212414055L

Trane RTU-2
M# SFHJ1054EAA147LB7G54G2001COZC0100M01C1
S# C21C01840

Trane RTU-1 South
M# YCH480B4T16B3M640B0009GHHBEMKOR00000
S# C21C01552

-Arrived on site and met with tech Tommy T
-Gathered tools and gained access to roof 
-Located outdoor units and started with maintenance 
-Powered down units and performed electrical tighten down
-Rinsed condenser coils, evaporator coils, and drain pans 
-Assisted Tommy with wiping down components and completing maintenance on RTUs
-Cleaned up work area and checked out 
-See Tommy’s ticket for additional information 
-Job complete 

https://visionshare.xoi.io/?id=ms83ebb910-5a07-i164-adcd406f94ad-u9DE-5d1df9f95685"

2023-05-11 00:00:00,"",CALI009,XCAL,23-02561,"Xcal 
April Pm

Met tommy at 130pm and helped him clean up material and tools from job site. Tommy was finishing up cleaning coils on Aaon rtu-RN090 Erv.

Rtu-RN090 Erv
M#RNA -090 -E-0-3-CAAOA - CB4LO
S#202106-AVGG01368

Job incomplete

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/5161FE4A-991A-49AF-A92B-1E547271825A"

2023-03-28 00:00:00,"",WYER001,WYE RIVER,23-02334,"Wye River School 
CU 2A 2B 
Main M# RWEYQ84PTJU S# A000705
Sub1 M# RWEYQ84PTJU S# A000697
Arrived onsite and opened up sub 1 and found the oil return cap tube has snapped off losing its charge. Engineer stated Friday the compressor was making a loud noise then line broke on Saturday. Lost a significant amount of oil recommend replacing both compressors in the main and sub. Went thru the sub and ohmed out all solenoids and all read resistance. Recommend replacing the Y1S and Y2S solenoids in the main and sub CU. Called account manger Robert Bonsby but got a message to call me back haven’t heard from him.

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/383AD43E-DEDD-4C79-AFC8-207F09F5AE50"

2023-05-12 00:00:00,"",WYER001,WYE RIVER,23-02848,"Wye River CU 2A 2B
18 IDU 5 BS

Main M# RWEYQ84PTJU S# A000697
Sub1 M# RWEYQ84PTJU S# A000705

Work performed 
- arrived onsite met with the POC  Ron Verner and went over the geo thermal loop and my concern of having the two flow switches installed in the vertical position not working. 
- Explained to him that jumping these switches out is jumping a safety out and if he looses water flow there is no protection.
- He stated he had someone coming Tuesday to look at the loop and will address the switches ASAP. But for now to jump them out knowing the possibility the school needs AC.
- Hooked up service checker and ran the system thru test mode and passed. Ran the system in full heat checking all sensors and comparing them to checker. All sensors were reading within 3 to 5 degrees on what checker was seeing. Pressures and temps looked good in both CUs. 
- Switched the system into full cool checking all sensors again still in the same range and temps pressures looked good. 
- Ran half the system in cool and the other in fan checking for bleed by on the EEV didn’t see anything bleeding by. Then switched the ones in fan to cool and the cool units into fan didn’t see anything bleeding by. 
- Set the system in cool to 74 and will come back Monday to see how it ran over the weekend and check temps pressure again.


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/AB9CFF7D-115C-4088-B89F-7556D4B7EA68"

2023-05-15 00:00:00,"",WYER001,WYE RIVER,23-02848,"Wye River CU 2A 2B
18 IDU 5 BS

Main M# RWEYQ84PTJU S# A000697
Sub1 M# RWEYQ84PTJU S# A000705

Work performed 
- arrived onsite and met with the POC checked on CU 2A 2B found the system not in alarm. 
- Hooked up service checker and checked temps and pressures looked ok. 
- Flow switches still not working properly Ron Verner is away and  chose to run it this way he has someone coming tomorrow to look at the switches and geo thermal loop."

2023-05-10 00:00:00,"",WYER001,WYE RIVER,23-02848,"Wye River CU 2A 2B
18 IDU 5 BS

Main M# RWEYQ84PTJU S# A000697
Sub1 M# RWEYQ84PTJU S# A000705

Work performed 
- arrived onsite and met with the POC and got access to CU2A 2B.
- Powered up the system and put into vacuum mode to ensure no refrigerant was left in the system after the oil line snapped.
- Cut out the compressors in the main CU and the sub CU then cut out the pile return filter which was clean. 
-  Unsweated the oil return cap tubes and installed a new oil return filter and cap tube in each CU and repiped the 1/4” line on sub1 CU from damage from the fire department.
- Installed new compressors in the main and sub1 CU then pressurized the system to 450 psi.
- Will check the pressure in the morning and start replacing solenoids on both CUs then start the vacuum. 


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/26F980A2-468E-4E0D-B69E-918E155A507A"

2023-05-12 00:00:00,"",WYER001,WYE RIVER,23-02848,"Wye River CU 2A 2B
18 IDU 5 BS

Main M# RWEYQ84PTJU S# A000697
Sub1 M# RWEYQ84PTJU S# A000705

Work performed 
- Arrived onsite and checked the nitrogen pressure and was still holding at 450 psi. 
- Blew down the nitrogen and hooked up the vacuum pump and starting pulling a vacuum.
- Put the units back together and replaced the oil recovery solenoid and hot gas bypass solenoid.
- Found again the flow switch in the sub1 CU is not closing when we have water flow and the main CU flow switch is closed but does not open when there is no water flow. Flow switches need to be replaced with new ones pictures in XOI. 
- Microns pulled down below 500 microns and held then installed total charge of 63.6 l on bs of 410A. 


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/B4457F54-4E56-42E6-ABAD-D6DD989DCF6E"

2023-06-28 00:00:00,"",THER023,WVU OSC PHARM,23-03329,"WVU

- arrived onsite looked over job

- Need to get different body for solenoid 5/8

- Looked into TXV location

- Discussed wiring with PCC

- Made materials list Ben is supposed to pickup for tomorrow

- Job incomplete

Please use the following URL to view related photos/videos:

https://vision.xoeye.io/partners/havtech/activity/56AEBE9F-6404-4F11-AE54-40848B100960"

2023-06-25 00:00:00,"",THER023,WVU OSC PHARM,23-03327,"WVU pharmacy 
- arrived onsite with building Engineer 
- Took all tools and materials to roof 
- Pulled a vacuum on recovery cylinder under 500 microns 
- Recovered all refrigerant out of system 
- 25 LBS between both circuits 
- Took all materials beck down to van 
- Checked out with building engineer 


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/FE532E97-C8B4-4C1F-9C18-3AD065F444E0"

2023-06-29 00:00:00,"",THER023,WVU OSC PHARM,23-03329,"WVU OSC Pharmacy 
Model: RCS015DYYYY
Serial: FB0U221001142
- arrived onsite with Ben(Havtech)
- Gained access to airhandler 
- Cut out filter drier and TXV
- Brazed TXV and filter drier in while flowing nitrogen 
- Cut piping and brazed in both solenoids on roof 
- Filled both circuits with nitrogen circuit 1 (370 psi) circuit 2 (350 psi)
- Both circuits held pressure for 2 hours 
- Began triple evacuation process 
- Pulled first vacuum down to 560 microns (circuit 1)
- Filled system with 410A vapor 
- Checked system incoming voltage 
- Powered up unit so crankcase heaters will be on 
- Cleaned up work areas 
- Picked up insulation from RE Michels 
- Ben to return tomorrow to continue job



Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/28198B34-99AC-48E6-951B-583B71BAC6EE"

2023-03-14 00:00:00,"",HAVT043,WVU MEDICINE,23-01939,"WVU MEDICINE
3/13/23

Innovent RTU

DRC Serial No. INNVNT-000837
JOB/Drawing No. 7633292.0020

Arrived on site.Checked in with POC Mike . Was escorted to Innovent RTU equipment  on roof. Customer stated steam humidifier is not engaged and not reaching setpoint. Contacted tech-support for corral controller. Tech-support was able to assist technician in placing humidifier in force ramp mode. After troubleshooting discovered that contact points 213 and 214 we’re not making. Accessed advanced features and controller entered logic setting for humidifier and switched from normally closed to normally open. Both building technician and I observed actuator opening and humidifier making steam. Checked out with building engineer Mike and view the animation on BMS. Equipment is operational.



Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/2F15A52C-56D2-41D6-B089-46E2525453EA"

2023-05-05 00:00:00,"",WEST059,EDUCATION CENTE,23-02306,"WVU Education Center
M# RXTQ60TAVJU
S# F001372
- Picked up Heat Pump outdoor unit coil cover from IES
- Used fin straightener on coil
- Installed new coil cover on HP outdoor unit


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/519846BB-A6E5-431C-9C53-F09D944F7091"

2023-05-17 00:00:00,"",WEST033,ART MUSEUM,23-03365,"WVU Art Museum 
23-03365
5/17/23


Carel Humidifier 
Model# UG150H1104
Serial# U150X018


Arrived on site and met with maintenance personnel, gained access to humidifier, performed the following.

- Shut down humidifier 
- Manually drained humidifier 
- Locked out gas and electric
- Disassembled burner and removed
- Cleaned flame sensor
- Cleaned igniter
- Cleaned burner
- Replaced gaskets for burner
- Reinstalled burner
- Removed drain pump assembly
- Humidifier is clean inside
- Reassembled drain pump assembly 
- Performed electrical tighten down
- Tightened clamps for steam outlet hose (slightly leaking upon arrival)
- Refilled Humidifier 
- Started humidifier 
- Checked for leaks
- Had to raise set point to get unit to operate
- Checked operation of humidifier 
- Reset cylinder working hours
- Reinstalled all unit doors
- Leak from steam outlet hose has stopped
- Put unit set point back to where it was (47.5%)
Job Complete


https://visionshare.xoi.io/?id=msebf053ae-90d1-i163-1999430382ab-u655-8a0790860079"

2023-04-19 00:00:00,"",WEST033,ART MUSEUM,23-02311,"WVU Art Museum 
23-02311
4/19/23

Arrived on site, met with Scott Joliff, gained access to humidifier and performed the following.

Carel
Gas steam humidifier 
Model# UG150H1104
Serial# U00032927

- Reviewed fault log
- Complaints of over temp alarms but not sure which ones specifically 
- Found alarm circled in manual ALA07
- Verified wiring of flue over temp circuit
- While tracing wiring unit faulted on ALA07
- Trouble shot fault 
- Flue over temp switch not tripped
- Found relay P had one contact open in series with flue switch
- Removed relay P and found one of the pins bent over not allowing the relay to fully seat
- Straighten pin and cleaned pins reseated relay and checked operation
- Spoke to maintenance personnel they were getting the same alarm and did not have to manually reset the flue over temp switch
- Looked up parts required for maintenance to be performed on unit
Will provide parts list to office to perform maintenance on humidifier excluding heat exchanger removal and cleaning.
Checked out with Scott
Job Complete


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/C77B518D-EF2A-4E59-8DDE-DDDF10DED948"

2023-06-15 00:00:00,HAVTECH - ERIC SIMPSON,HAVT034,JHHS CMSC & NTA,23-04458,"WT  S/U (1) VRV SYS TAG 5-6

CHAD  HIRSCHBOCK - WALKTHRU FRIDAY 6/9
START UP PERFORMED BY ROUZER 6/16

FIRST POC TOM MAJOR 443-336-2216 2ND POC IS PARKER MELLENDECK 443-521-5742"

2023-04-20 00:00:00,"",WASH019,WSSC BUILDING,23-03023,"WSSC Building - SCU 8W - startup

Tag# SCU 8W
M# VZWL36G4ATAB30-A-X
S# 2304021

-On site with Lou to do startup and checked in with the poc and front desk 
-Was shown to unit located on the 8th floor in the mechanical room 
-LOTO system and did electrical tighten down and visual inspection 
-System is controlled by others
-Signals were sent to the system so we could test and log system data 
-Startup form was completed and Lou will submit it
-Unit operational 
-Cleaned up work areas
-Checked out with POC and front desk 

-Job complete



Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/8B392756-FCD1-4781-A875-223ADB7661F3"

2023-05-24 00:00:00,HAVTECH - ANTHONY JONES,HJON001,PORT COVINGTON,23-04145,"WSHP-A45- AAON RTU- 

WSHP-A4  5  AAON RTU – Confirm Points RA Temp and Duct Static Control are available
RN-008-3-0-E709-111      202110-ANEH23240
RN-010-3-0-E709-121      202110-ANEJ23241
210 - Return Air Sensor should be AI:14
211 – Duct Static Pressure should be AI:21"

2023-01-20 00:00:00,BALTIMORE COUNTY PUBLIC SCHOOLS,BALT004,NORTHEAST AREA,23-00536,"WSHP-1.03
Change out fan motor in broken unit.  Steal one from spare unit.  
Original bad fan motor was supposed to be ordered in September.  If not ordered we need to get one ordered and replaced in spare unit."

2023-02-03 00:00:00,ACTS Retirement-Life Communities Inc,ACTS001,HERON POINT,23-01034,"WSHP

EQUIPMENT PROPOSAL

Manufacturer	Model Number	Return
Daikin	WGCV019 -LH	Left Hand

 	(1) 19K BTU GEO COMPACT VERTICAL WSHP (LEFT HAND, 208/1)
 	(2) 1/2X24 BRAIDED HOSE 061269001
 	FREIGHT+TAX INCLUDED
?"

2023-05-25 00:00:00,HAVTECH - MIKE RUBY,HRUB001,NORTHEAST MS,23-04183,"WSHP TROUBLESHOOTING - JMT PUT HOLE IN COIL

CAN IT BE REPAIRED? DO WE NEED A NEW ONE?"

2023-05-03 00:00:00,"EMCOR Government Services - Arlington,",EMCO013,DEPT. OF STATE,23-03441,"WSHP NOT FUNCTIONING
Not cooling"

2023-03-15 00:00:00,HAVTECH - TED MCCORD,HMCC001,"METS 6,7,8 BASE",23-02086,WSHP HTP-17-01-02 LEAK SEARCH/REPAIR

2023-01-04 00:00:00,MONTGOMERY COUNTY PUBLIC SCHOOLS - WESTLAKE DR,MONT007,WELLER ROAD ES,23-00098,WSHP HAS MULTI ZONES DOWN AND NOT WORKING LOCATION HALL WAY NEAR OFFICE

2023-05-24 00:00:00,HAVTECH - ANTHONY JONES,HJON001,PORT COVINGTON,23-04146,"WSHP DAIKIN- LOBBY

WSHP-LOBBY – Daikin
WSHP-Lobby       WCCW2096
Active Temperature Setpoint - In manipulating heating and Cooling setpoints, the Active Setpoint does not match
either values and is seen as being lower of higher desired setpoints at times."

2023-04-21 00:00:00,ACTS Retirement-Life Communities Inc,ACTS001,HERON POINT,23-03125,"WSHP APT 325

EQUIPMENT PROPOSAL

Manufacturer	Model Number	Return
Daikin	WGCV019 -LH	Left Hand

 	(1) 19K BTU GEO COMPACT VERTICAL WSHP (LEFT HAND, 208/1)
 	HOSES NOT INCLUDED PER REQUEST
 	FREIGHT+TAX INCLUDED"

2023-06-29 00:00:00,ACTS Retirement-Life Communities Inc,ACTS001,HERON POINT,23-05345,"WSHP APT 235
EQUIPMENT PROPOSAL

Manufacturer	Model Number	Return
Daikin	WGCV019 -RH	Right Hand 

 	(1) 19K BTU GEO COMPACT VERTICAL WSHP (RIGHT HAND, 208/1)
 	1/2X36 BRAIDED HOSE
 	FREIGHT+TAX INCLUDED"

2023-02-15 00:00:00,HAVTECH - ANTHONY JONES,HJON001,PORT COVINGTON,23-01291,WSHP A2  A3 Control Boards - PICK UP BOARDS FROM CAGE

2023-05-01 00:00:00,"",ANNE014,AAC UTILITY II,23-02552,"WSHP 1 
M# EV060-4HZN
S# 3540-008-000001-T111M36347

WSHP2 
M# EV060-4HZN
S# 3540-008-000002-T111M36347

WSHP 3 
M# EV060-4HZN
S# 3540-008-000003-T111M36347



Went to Aireco and picked up filters. Arrived on site and checked in the front desk. Went into the conference room and located all 3 WSHP
- went to the mechanical pump room and verified the pumps were energized 
- Set up my ladder and visually inspected the unit 
- de energized the unit and inspected the electrical connections 
- Opened and Inspected the fan housing 
- Inspected the condensate drain and added drain tablets 
- Changed the filters 
- Energized the unit and watched the unit turned on. Unit is controlled by others 
- Verified voltage and amps on the unit 
- Cleaned up my area and before leaving I checked out with the front desk 
Pm complete 

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/CAF04D3B-F482-48C4-B196-15630245E244"

2023-01-27 00:00:00,BOZZUTO - The Elm,BOZZ030,THE ELM,23-00815,"WSHP 

SCOPE OF SERVICE

Manufacturer	Model Number	Apartment Number
Daikin WSHP	WVFC1030BEYRT04YYACY	2101
		
SCOPE OF WORK

""	Check in with the customer on site
""	Disconnect power to the equipment using lockout/tagout procedures
""	Insert nitrogen gas into the WSHP unit
""	Using the electronic leak detector search for the refrigerant leak in the refrigeration circuits accessible area
""	If required Havtech Service may need to return and remove the FCU to find and isolate the refrigerant leak if it is determined to be in an inaccessible area. This will be an additional cost.
""	Document leak search results on XOI 
""	Contact the AM with the search results to enable a leak repair proposal to the customer"

2023-05-08 00:00:00,BALTIMORE COUNTY GOVERNMENT,BALT002,BALTIMORE COUNT,23-00069,WRONG PARTS WERE DELIVERED THE FIRST TIME WE WERE SCHEDULED TO JOB. PER SK-DO NOT CHARGE FOR FIRST 8 HOURS. ONLY FOR SERVICE ON 5/10.

2023-02-21 00:00:00,PRINCE WILLIAM COUNTY PUBLIC SCHOOLS,PRIN006,BENNETT ES,23-01126,"Working with Mariba

Mariba will pick up compressor also you will need an extension ladder for access

PARTS RECEIVED- 2/16/2023
(1) COMP ZP103KCE-TFD-250 460/3 
LOCATION- BACK/CAGE"

2023-02-21 00:00:00,PRINCE WILLIAM COUNTY PUBLIC SCHOOLS,PRIN006,BENNETT ES,23-01126,"Working with David Buckley

please pick up compressor also you will need an extension ladder for access

PARTS RECEIVED- 2/16/2023
(1) COMP ZP103KCE-TFD-250 460/3 
LOCATION- BACK/CAGE"

2023-04-24 00:00:00,"",HAVT038,3924 MINNESOTA,23-02829,"Work performed
- Arrived onsite and met with mechanical contractor then performed owner training in the VRV system."

2023-06-27 00:00:00,"",HHOL001,THE ASPEN,23-03717,"Work performed
- arrived onsite and got a hold of the POC and he stated the last system doesn’t have power and is not ready.
- spoke with IZAT and he told me to stay and help show them how to reset the system when they are in comm alarm.
- showed Lester how to reset the systems and how to count indoor units to confirm they have they correct amount of indoors.

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/B4CAD9A7-7F47-4EAF-9F8A-6F05939F80C5"

2023-06-13 00:00:00,"",STUL001,24288 QUAIL RID,23-04565,"Work performed 

- arrived on site checked in with POC 
- Went to COLO3 cell 3 and started performing L2 pre startup 
- Made sure the back draft dampers worked properly 
- Checked over unit for any damages 
- Tightened up electrical connections 
- Removed shipping materials from units 

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/3CA678E5-6E58-4B8F-AB84-B7CDD18E0D76"

2023-06-12 00:00:00,"",HKEN001,20 MASS AVE NW,23-04498,"Work performed 
- met with contractor then gained access to the two daikin bacnet gateways. 
- spoke with the control tech who gave me one IP but didn’t know we were gonna need two IPs.
- finally got both IPs commissioned both gateways then assisted control guy trying to ping the gateways.
- control tech was able to ping both gateways then assisted him with the bacnet numbers to FCU names. 
- Rezoned a DZK they were having issues with then confirmed the correct stats were controlling the correct dampers.

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/FA84F0A0-C83E-4F2A-B655-E58EA8494744"

2023-06-09 00:00:00,"",HKEN001,1001 NEW JERSEY,23-04411,"Work performed 
- arrived onsite and met with the contractor then waited for commissioning agent to arrive. Met with commissioning agent and commissioned DOAS 2 which is complete. We did not start commissioning on DOAS 1 due to her boss stopping work outside due to air quality. 
- Moved inside and commissioned the VRV systems in the common areas. Commissioning for the condos will be done at a later date with a different testing procedure per commissioning agent.

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/960B6DDA-3877-417B-9ADF-7EA023732CD2"

2023-06-12 00:00:00,"",HAVT063,OUT OF THE FIRE,23-02873,"Work performed 
- Arrived onsite and met Richard then set up ladder and got access to the system.
- Valved off suction core driers then recovered the refrigerant. 
- Removed old core driers then installed new ones with a new gasket and pressure tested. Pressure held then hooked up vacuum and broke back with a little refrigerant and left valved off due to old cores looking clean. 
- installed 2.5 lbs of refrigerant which was the amount recovered the ran the system in cooling. System looked good temps and pressures all look normal.

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/3A19DCD7-D553-400C-8D0C-B86A46588985"

2023-06-26 00:00:00,"",WILL029,TRANSTECK,23-03323,"Work performed 
- Arrived onsite and checked the pressure and it was still holding.
- Blew down the pressure then started pulling a vacuum. Changed the oil several times until microns held below 500 then installed the total refrigerant charge 96.9 lbs of 410A. 
- Insulated the new line for the filter driers and looked at data for the system everything is running fine.

Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/03AB2522-7874-4D83-8C4A-F9C928187D0E"

2023-03-22 00:00:00,ARLINGTON COUNTY GOVERNMENT,ARLI001,FIRE STATION#10,23-02240,WORK ORDER FOR HAVTECH TO ARRANGE THE REFRIGERANT 410A TO TOP UP THE VRV AC UNIT ON WHICH THEY ARE DOING REPAIR WORK

2023-04-21 00:00:00,ACES - RANDY SMITH,ACES005,KNOLLS I,23-02899,"WORK ORDER # COW11600000011683

[4/20/2023 12:54:56 PM Overton, Steven - 0001] 
- ?Task 

RTU tripping control fuse 120v randomly. 

- Summary 
?
Arrived on site to meet Steve Muir with JLL. Once signed in through security I gained access to the roof. The unit was running Cir 1 only with Cir 2 pump down switch off so the cir couldn’t operate. I verified some voltages and then began testing Cir 2. I shut off pump down switch 1 and turned on pump down switch 2. 

Started by checking operations of compressor 2. I removed BAS from the controller and lowered the DAT to 50 to load the cir. It brought on LLSV no problem and started the compressor at 12 % capacity and brought on three condenser fans. Then it staged up to 25% from the unloader. I shut this cir off after a short run time. 

Letting the unit alarm out for compressor 2 and let timers expire to bring on compressor 4. The compressor started and brought on all three of the same condensers fans. It staged up to 25 % and then to 37 %. I lowered the DAT to 47 because we were running 53 on a 50 deg set point and I wanted to see the machine get to 50%. Still no pop of the fuse. I 

I noticed we hadn’t brought on the last condenser fan yet. We have 3 of 4 running. And being the machine ran for a few days the when Ryan swapped boards all I can think is it was cooler and didn’t need the tonnage or the fans on cooler days that’s why I staged the machine to see at what point it would trip the fuse. Again everything was running except that last condenser fan. I jumped out the fan to run and then it popped the fuse. I checked the coil on this condenser fan motor contactor and it’s a strait path to ground. So any time it went to ask for this fan to run it would pop the fuse. I have unwired the coil and capped it for now so it wouldn’t blow the fuse again. It could possibly go out on head pressure if the day was hot enough. 

Drove to office to work with our parts team to find a contactor. I know this exact contactor they don’t make any more and that’s why I want to make sure we have a somewhat like replacement to fit the need. 

Worked with parts team at ACES. Called customer as soon as I found a returned to job site. Removed busted contactor and replaced it with our new one. Tested operation and found that the CCB 2 has a stuck output causing this fan to constantly run. It didn’t do that with a previous CCB 2 we had in it. That’s why the symptoms where different when Ryan was trouble shooting. We will need to replace the CCB-2 board to correct the output issue. In the mean time this will not effect the operation of the RTU in a negative way. It will still load and unload as needed with all stages of cooling. The only item is that this condenser fan will constantly run when no cooling is being called for. 

- To do 
Replacement part needed, request sent in XOI for a CCB 2. Return trip needed to replace this board per the customers request. 

- Tools used 

Hand tools 

- Materials Used 
Daikin Part Number # 300030413
This M24 condenser fan contactor needs to be replaced. 460 v 25 amp 120v coil. 


Please use the following URL to view related photos/videos:
https://vision.xoeye.io/partners/havtech/activity/9472FDC4-8C69-4D2B-858E-CC9FFD0ECE4F

[4/21/2023 9:30:26 AM Overton, Steven - 0002] 
- Task 

Return site visit to replace CCB 2 for RTU #1 found bad yesterday. 

- Summary 

